Division,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
AN&NICOBAR IS,1989,68.8,490,1424.1,550.7
AN&NICOBAR IS,1990,13.6,536.8,1108,525.1
AN&NICOBAR IS,1991,18,352.2,1689.3,476.2
AN&NICOBAR IS,1992,86.8,246.8,1436.2,328.8
AN&NICOBAR IS,1993,14.9,355,1312.5,555
AN&NICOBAR IS,1994,42.6,687.2,2191.5,341.5
AN&NICOBAR IS,1995,64.3,348.1,1933.9,769.2
AN&NICOBAR IS,1996,57,424.1,1764.3,751.5
AN&NICOBAR IS,1997,9.5,296.9,1988.8,459.9
AN&NICOBAR IS,1998,0.9,348.9,1561.2,935.4
AN&NICOBAR IS,1999,91.4,542.2,1358,708.1
AN&NICOBAR IS,2000,112,812.2,1244.2,594.7
AN&NICOBAR IS,2001,104.7,878.7,1515.4,582
AN&NICOBAR IS,2002,10.7,478.4,1525.6,605.5
AN&NICOBAR IS,2003,52.2,465,1406.1,432.5
AN&NICOBAR IS,2004,90.4,583.2,1392.2,394.2
AN&NICOBAR IS,2005,0,376.8,1700.4,877.5
AN&NICOBAR IS,2006,30.7,534,1314.9,525.2
AN&NICOBAR IS,2007,6.5,429.6,1793.1,518.9
AN&NICOBAR IS,2008,77.6,877.3,1783.1,636.8
AN&NICOBAR IS,2009,30.8,493.7,1627.1,386.9
AN&NICOBAR IS,2010,109.8,332.2,1797.8,917.3
AN&NICOBAR IS,2011,350.7,710.7,2165,601.6
AN&NICOBAR IS,2012,165.6,620.5,2014,697.5
AN&NICOBAR IS,2013,104.7,598.6,2152.1,902.4
AN&NICOBAR IS,2014,50.5,249.1,1618.7,704.2
AN&NICOBAR IS,2015,134.4,473.2,1678.6,618.4
ARUNACHAL,1916,117.9,811.8,NA,NA
ARUNACHAL,1917,185.9,NA,2772.8,262.8
ARUNACHAL,1918,21.4,1196.9,4121.3,146.7
ARUNACHAL,1919,102.3,706,2888,997.6
ARUNACHAL,1920,210.3,1143.9,2649.2,103.3
ARUNACHAL,1921,133.2,1136.3,4155.5,266.4
ARUNACHAL,1922,110.1,820.4,2723.9,532.8
ARUNACHAL,1923,170.2,720.3,2555.7,61.3
ARUNACHAL,1924,130.8,752.2,3232.3,335.2
ARUNACHAL,1925,194.6,953.5,3129.3,162.4
ARUNACHAL,1926,78.9,676.9,2386.4,379.4
ARUNACHAL,1927,256.8,636.1,3805.3,555
ARUNACHAL,1928,88.6,673.5,3849.2,661.4
ARUNACHAL,1929,204.1,1232.4,2521.8,362
ARUNACHAL,1930,148.7,916.8,2789.5,479.1
ARUNACHAL,1931,251,1012,3367.7,241.3
ARUNACHAL,1932,180.5,1049.8,3177.1,443.5
ARUNACHAL,1933,115.4,804.8,2586.5,266.6
ARUNACHAL,1934,173.2,1177.9,2984,240.6
ARUNACHAL,1935,161.8,680.9,3237.5,93.6
ARUNACHAL,1936,281.1,822.2,3218.6,467
ARUNACHAL,1937,125.5,751.2,2224.6,273.8
ARUNACHAL,1938,266.4,1042.3,4534.5,285.8
ARUNACHAL,1939,154.2,815.5,2757.6,171.4
ARUNACHAL,1940,181.2,996.2,2710.7,211.3
ARUNACHAL,1941,139.1,1055.7,2870.3,155.2
ARUNACHAL,1942,180.7,1169.1,2436.6,41.9
ARUNACHAL,1943,210.8,1265.4,2629.2,221.3
ARUNACHAL,1944,140.1,972.9,2383,408.4
ARUNACHAL,1945,151.2,800.2,2480.1,217.7
ARUNACHAL,1946,75.1,1011.2,2679.9,245.1
ARUNACHAL,1947,106.3,1113.2,2816.9,332.6
ARUNACHAL,1948,155.1,1745.8,4206,224.2
ARUNACHAL,1949,168.1,1291.5,3100.5,314.6
ARUNACHAL,1950,131.4,905.2,NA,449.4
ARUNACHAL,1951,97.1,1095.3,1974.7,187.1
ARUNACHAL,1952,41.7,576.2,1446.7,331.5
ARUNACHAL,1953,163.3,765.8,1617.5,NA
ARUNACHAL,1957,NA,NA,2875.9,204.3
ARUNACHAL,1958,165.9,870,3338.7,688.9
ARUNACHAL,1959,221.1,922.7,2792.6,259.1
ARUNACHAL,1960,34.8,401,3236.8,36.8
ARUNACHAL,1961,254.2,962.9,2137.9,321.5
ARUNACHAL,1962,124.3,897.3,3475.2,NA
ARUNACHAL,1963,49.8,777.6,3138.5,172.1
ARUNACHAL,1964,145.7,587.2,3896.1,330.3
ARUNACHAL,1965,158.1,665,1244.7,129
ARUNACHAL,1966,113.8,456.5,1515.1,124.2
ARUNACHAL,1967,58.8,408.5,1121.2,80
ARUNACHAL,1968,95.7,560.7,1385.9,96.8
ARUNACHAL,1969,29.2,363.1,1392.7,92.8
ARUNACHAL,1970,128,379.7,1320.2,145.5
ARUNACHAL,1971,123.8,391.3,1359.3,310.2
ARUNACHAL,1972,153.5,639.3,1357.9,130.7
ARUNACHAL,1973,283.5,554,1385.5,234.4
ARUNACHAL,1974,226.3,648.7,2023.5,165.4
ARUNACHAL,1975,94.2,454.8,1177.7,486.6
ARUNACHAL,1976,121.8,608,1416.7,273.1
ARUNACHAL,1977,204.6,1187.3,1950.2,432.2
ARUNACHAL,1978,119.3,712.6,1417.4,281.6
ARUNACHAL,1979,129,507.2,1619.2,518.3
ARUNACHAL,1980,195.9,868.9,1957.1,193.3
ARUNACHAL,1981,229.2,737.6,1667.4,156.7
ARUNACHAL,1982,106.8,727.9,1746.4,198.3
ARUNACHAL,1983,236.5,870.7,1980.6,247.4
ARUNACHAL,1984,140.8,1004.9,1853,279.3
ARUNACHAL,1985,135,948.2,1992.2,190.7
ARUNACHAL,1986,109.5,559.8,1599.1,227.2
ARUNACHAL,1987,76.2,730.4,2461.9,164.8
ARUNACHAL,1988,169.2,1065.4,2457,463.6
ARUNACHAL,1989,224.5,721.2,1956.8,379.1
ARUNACHAL,1990,167.2,805.1,2369.5,262.3
ARUNACHAL,1991,110.9,727.7,2303.9,291.9
ARUNACHAL,1992,162.1,620.3,1702.7,221.8
ARUNACHAL,1993,221.1,673.3,2203.7,250.8
ARUNACHAL,1994,120.8,830.3,1154.4,181.9
ARUNACHAL,1995,100.5,647.1,2155.2,166
ARUNACHAL,1996,91.8,733.1,1472.5,223
ARUNACHAL,1997,94.6,465.8,1583.7,130.7
ARUNACHAL,1998,105.6,593.6,2707.4,210.2
ARUNACHAL,1999,14,543.2,1519,240.4
ARUNACHAL,2000,101.2,700.8,1650,144.8
ARUNACHAL,2001,119.7,560.5,1147.8,208
ARUNACHAL,2002,111.4,571.6,1549.4,156.9
ARUNACHAL,2003,106.1,465.2,1656.6,223.9
ARUNACHAL,2004,77.1,684.3,1578.7,205.6
ARUNACHAL,2005,216,604.6,1343.7,171.2
ARUNACHAL,2006,109.7,587.7,1393.5,168.7
ARUNACHAL,2007,110.8,590.9,2185.1,133.9
ARUNACHAL,2008,116.4,499.9,1508.7,119.4
ARUNACHAL,2009,110.8,394.7,1111.8,132.7
ARUNACHAL,2010,13.9,1017.5,1653.6,170.9
ARUNACHAL,2011,91.4,634.9,1384.2,83.3
ARUNACHAL,2012,93.6,724.9,2325.6,296.3
ARUNACHAL,2013,59,626,1165.9,192
ARUNACHAL,2014,120.9,466,1750.8,65.4
ARUNACHAL,2015,78.3,623.5,1936.9,128.8
ASSAM & MEGHALAYA,1901,46.6,460.5,1710.9,280.5
ASSAM & MEGHALAYA,1902,19.4,717.6,2108.9,106.2
ASSAM & MEGHALAYA,1903,45.4,450.8,1828.5,220.1
ASSAM & MEGHALAYA,1904,67.1,884.2,1548,164.8
ASSAM & MEGHALAYA,1905,36.8,626.3,1886,241.6
ASSAM & MEGHALAYA,1906,68.9,623.3,1780.4,190.8
ASSAM & MEGHALAYA,1907,93,578.1,1793.8,56.2
ASSAM & MEGHALAYA,1908,41.3,530,1610.8,95.7
ASSAM & MEGHALAYA,1909,27.9,509.8,1646,193.3
ASSAM & MEGHALAYA,1910,41.3,638.9,1986.9,220.2
ASSAM & MEGHALAYA,1911,93.2,758.7,1957.5,286.8
ASSAM & MEGHALAYA,1912,66.8,677.4,1739.9,259.5
ASSAM & MEGHALAYA,1913,102.2,844.9,1529.7,283.7
ASSAM & MEGHALAYA,1914,85.5,607.4,1565.4,85.6
ASSAM & MEGHALAYA,1915,68.2,939.2,2035.1,122.6
ASSAM & MEGHALAYA,1916,48,686.9,1582.1,284
ASSAM & MEGHALAYA,1917,104.4,413.6,1717.4,284.4
ASSAM & MEGHALAYA,1918,20.7,565.1,2442.5,78.6
ASSAM & MEGHALAYA,1919,25.5,451.6,1635.3,231.9
ASSAM & MEGHALAYA,1920,55.8,695.6,1737.6,134.6
ASSAM & MEGHALAYA,1921,55.4,873.6,1909.8,160.9
ASSAM & MEGHALAYA,1922,21.4,479.6,1612.3,148.7
ASSAM & MEGHALAYA,1923,60,673,1592.1,115.4
ASSAM & MEGHALAYA,1924,33.3,541.3,1862.8,254
ASSAM & MEGHALAYA,1925,47.9,934.2,1465,103.4
ASSAM & MEGHALAYA,1926,46.6,551.6,1679.7,233.8
ASSAM & MEGHALAYA,1927,94.3,569.7,1937.9,191.2
ASSAM & MEGHALAYA,1928,29.4,646.4,1640.5,317.9
ASSAM & MEGHALAYA,1929,87.7,976,1654.4,235.7
ASSAM & MEGHALAYA,1930,59,509,1712.4,270.4
ASSAM & MEGHALAYA,1931,36.7,716.3,1872.4,174.7
ASSAM & MEGHALAYA,1932,51.5,711,1906.3,219.9
ASSAM & MEGHALAYA,1933,39.2,517.7,1649.2,132.9
ASSAM & MEGHALAYA,1934,86.8,773,1916.3,298.9
ASSAM & MEGHALAYA,1935,56.6,570.1,2001,50.8
ASSAM & MEGHALAYA,1936,72.2,716.3,1655.9,226.8
ASSAM & MEGHALAYA,1937,53.3,523.4,1590.3,157.6
ASSAM & MEGHALAYA,1938,43.4,587.3,1958.2,197.6
ASSAM & MEGHALAYA,1939,35.1,539.2,1632.5,194.9
ASSAM & MEGHALAYA,1940,59.4,645.3,1620.3,126.6
ASSAM & MEGHALAYA,1941,37.2,821.2,1681,170
ASSAM & MEGHALAYA,1942,32.7,833.5,1743.4,67.5
ASSAM & MEGHALAYA,1943,88.4,824.9,1688.1,102.3
ASSAM & MEGHALAYA,1944,60.4,719.9,1637.2,106.8
ASSAM & MEGHALAYA,1945,76.7,603.5,1785,200.5
ASSAM & MEGHALAYA,1946,19.8,609.2,1694.2,356.4
ASSAM & MEGHALAYA,1947,12.9,707.6,1704.6,218.3
ASSAM & MEGHALAYA,1948,52.5,1001.1,1896.8,234.9
ASSAM & MEGHALAYA,1949,45.9,782.9,1982.1,172.4
ASSAM & MEGHALAYA,1950,72.5,488.5,1643.1,188.4
ASSAM & MEGHALAYA,1951,8.2,546.9,1736.3,322.5
ASSAM & MEGHALAYA,1952,14.8,729,1785.2,322.4
ASSAM & MEGHALAYA,1953,31.3,762.4,1603.4,162.9
ASSAM & MEGHALAYA,1954,67.6,796.9,1812.6,182
ASSAM & MEGHALAYA,1955,18.7,682.5,1812.6,247.4
ASSAM & MEGHALAYA,1956,33,859.9,1706.7,203.3
ASSAM & MEGHALAYA,1957,100.4,605.4,1428.6,122.8
ASSAM & MEGHALAYA,1958,63,747.9,1579.8,235.7
ASSAM & MEGHALAYA,1959,76.4,724.6,1424.6,310.1
ASSAM & MEGHALAYA,1960,11.2,399.9,1837,94
ASSAM & MEGHALAYA,1961,31.2,732.6,1261.7,169.8
ASSAM & MEGHALAYA,1962,52.5,521.1,1587.3,135
ASSAM & MEGHALAYA,1963,11.2,522.8,1797.1,180.7
ASSAM & MEGHALAYA,1964,32.2,646.4,1824.8,226.2
ASSAM & MEGHALAYA,1965,78.7,537.7,1626.7,155.7
ASSAM & MEGHALAYA,1966,43.6,524.1,2053.9,167.7
ASSAM & MEGHALAYA,1967,48.8,505.4,1452.9,116.3
ASSAM & MEGHALAYA,1968,42.7,681.3,1666.8,140
ASSAM & MEGHALAYA,1969,29.2,532.4,1660.3,110.2
ASSAM & MEGHALAYA,1970,82.8,787.9,1913.5,264.3
ASSAM & MEGHALAYA,1971,55.3,416.8,1551.3,291.6
ASSAM & MEGHALAYA,1972,57.6,698.9,1515.3,107.3
ASSAM & MEGHALAYA,1973,92.6,605.5,1742.6,231.4
ASSAM & MEGHALAYA,1974,43,703.8,2356.3,300.4
ASSAM & MEGHALAYA,1975,32.3,567.9,1473.9,196.5
ASSAM & MEGHALAYA,1976,42.1,411.5,1407.8,94.6
ASSAM & MEGHALAYA,1977,25.2,841.1,1505.2,245.2
ASSAM & MEGHALAYA,1978,13.2,399,1478.2,121.6
ASSAM & MEGHALAYA,1979,12,357.7,1542.6,276.3
ASSAM & MEGHALAYA,1980,49.3,559.6,1537.1,143.2
ASSAM & MEGHALAYA,1981,60.3,494.6,1431.8,92.7
ASSAM & MEGHALAYA,1982,32.9,520.4,1720.6,108.3
ASSAM & MEGHALAYA,1983,54.2,534.1,1844.2,187.6
ASSAM & MEGHALAYA,1984,29.7,647.4,2292.5,187.5
ASSAM & MEGHALAYA,1985,41,755.7,1895.1,109.9
ASSAM & MEGHALAYA,1986,28.1,470.6,1726.6,367.5
ASSAM & MEGHALAYA,1987,36.5,506.9,2170.6,207.3
ASSAM & MEGHALAYA,1988,53.4,808.9,2151,248.5
ASSAM & MEGHALAYA,1989,62,473.8,1929.5,216.8
ASSAM & MEGHALAYA,1990,66.1,734.4,1750.2,220.5
ASSAM & MEGHALAYA,1991,43.9,733.6,1783.8,276.7
ASSAM & MEGHALAYA,1992,61.1,468.8,1578.5,151.4
ASSAM & MEGHALAYA,1993,170.2,598.6,1969.9,140.5
ASSAM & MEGHALAYA,1994,69.1,600.5,1273.4,178.3
ASSAM & MEGHALAYA,1995,48.5,486.8,2169,181.8
ASSAM & MEGHALAYA,1996,36,616.4,1543.5,271
ASSAM & MEGHALAYA,1997,58.9,465.6,1763.4,84.3
ASSAM & MEGHALAYA,1998,43.4,573.1,1947.4,239.2
ASSAM & MEGHALAYA,1999,2.9,656.1,1710.2,225
ASSAM & MEGHALAYA,2000,34.2,679.5,1666.6,106.6
ASSAM & MEGHALAYA,2001,45.2,495.8,1413.2,224.2
ASSAM & MEGHALAYA,2002,25.9,650.2,1589.8,126.8
ASSAM & MEGHALAYA,2003,51,546.5,1573.3,263.4
ASSAM & MEGHALAYA,2004,34.8,755.9,1849.7,353.9
ASSAM & MEGHALAYA,2005,53.3,660.9,1525.2,228.9
ASSAM & MEGHALAYA,2006,41.5,515.5,1208.1,133.5
ASSAM & MEGHALAYA,2007,75.2,486.1,1975.1,216.4
ASSAM & MEGHALAYA,2008,44.2,474.4,1683.9,137.2
ASSAM & MEGHALAYA,2009,19.5,426.2,1473.5,149
ASSAM & MEGHALAYA,2010,3.7,882.3,1690.2,135.3
ASSAM & MEGHALAYA,2011,22.5,439.4,1236,45.6
ASSAM & MEGHALAYA,2012,22.1,493.7,1874.8,218.8
ASSAM & MEGHALAYA,2013,10.7,503.5,1172.9,129.3
ASSAM & MEGHALAYA,2014,30.3,431.9,1705.5,38.5
ASSAM & MEGHALAYA,2015,28.9,620.9,1729.3,91.8
NAGA MANI MIZO TRIPURA,1901,29.8,359.6,1544.8,234.2
NAGA MANI MIZO TRIPURA,1902,5.2,549.7,1504,116
NAGA MANI MIZO TRIPURA,1903,47,345.1,1595.4,243.2
NAGA MANI MIZO TRIPURA,1904,49.3,568.3,1678.2,224
NAGA MANI MIZO TRIPURA,1905,44.5,661.8,1539.8,281.5
NAGA MANI MIZO TRIPURA,1906,78.5,474.2,1770.9,190.9
NAGA MANI MIZO TRIPURA,1907,69.5,437.9,1442.4,171.9
NAGA MANI MIZO TRIPURA,1908,41.4,397.5,1581.3,299.1
NAGA MANI MIZO TRIPURA,1909,10.7,439.9,1549.9,308.1
NAGA MANI MIZO TRIPURA,1910,36.9,397,1625.8,208.3
NAGA MANI MIZO TRIPURA,1911,59.1,574.9,1602,243.7
NAGA MANI MIZO TRIPURA,1912,37.7,656.2,1394.9,220
NAGA MANI MIZO TRIPURA,1913,67.7,512.2,1717.1,316.2
NAGA MANI MIZO TRIPURA,1914,98.4,662.1,1543.5,225.2
NAGA MANI MIZO TRIPURA,1915,49.4,737.2,1764.1,269.2
NAGA MANI MIZO TRIPURA,1916,30.7,381.6,1663.1,479.6
NAGA MANI MIZO TRIPURA,1917,83.1,436.4,1491.4,211.3
NAGA MANI MIZO TRIPURA,1918,9.9,725.3,2145.5,132.5
NAGA MANI MIZO TRIPURA,1919,35.6,301,1509.7,201.6
NAGA MANI MIZO TRIPURA,1920,61.9,584.3,1582.7,146.9
NAGA MANI MIZO TRIPURA,1921,70.9,628.8,1644.7,293.8
NAGA MANI MIZO TRIPURA,1922,13,318.7,1916.2,214.8
NAGA MANI MIZO TRIPURA,1923,64.9,525.8,1781.5,313.3
NAGA MANI MIZO TRIPURA,1924,48.8,480.1,1779.7,393
NAGA MANI MIZO TRIPURA,1925,79.4,616.2,1544.3,207.7
NAGA MANI MIZO TRIPURA,1926,94.1,562.3,1567.7,239.1
NAGA MANI MIZO TRIPURA,1927,145,662,1852.7,227.9
NAGA MANI MIZO TRIPURA,1928,32.8,426.7,1722,291
NAGA MANI MIZO TRIPURA,1929,46,723.7,1930.4,159.4
NAGA MANI MIZO TRIPURA,1930,76.3,491.6,1587,332.5
NAGA MANI MIZO TRIPURA,1931,55.8,530.1,1573.3,302.1
NAGA MANI MIZO TRIPURA,1932,75.7,584.8,1870.5,230.6
NAGA MANI MIZO TRIPURA,1933,22.2,499.7,1802.8,127.1
NAGA MANI MIZO TRIPURA,1934,151.1,561.3,1890.6,437.9
NAGA MANI MIZO TRIPURA,1935,48.8,388.2,1946.1,160.1
NAGA MANI MIZO TRIPURA,1936,92.4,821.6,1765,238.2
NAGA MANI MIZO TRIPURA,1937,60.1,459.8,1924.7,297
NAGA MANI MIZO TRIPURA,1938,58.4,716.4,1841.2,355.6
NAGA MANI MIZO TRIPURA,1939,61.8,512.6,1803.1,230.8
NAGA MANI MIZO TRIPURA,1940,74.8,592,1673.4,186.5
NAGA MANI MIZO TRIPURA,1941,77.2,853.8,1839.7,195.5
NAGA MANI MIZO TRIPURA,1942,21.7,634.4,1814.6,210.1
NAGA MANI MIZO TRIPURA,1943,97.2,485.2,1758.8,86.7
NAGA MANI MIZO TRIPURA,1944,111.6,520.2,2130,115.6
NAGA MANI MIZO TRIPURA,1945,129.6,592.3,2057.7,272.2
NAGA MANI MIZO TRIPURA,1946,19.1,779.2,1868.2,369.6
NAGA MANI MIZO TRIPURA,1947,7.3,594.6,2271.1,337.3
NAGA MANI MIZO TRIPURA,1948,70.6,729.3,1807.2,215.1
NAGA MANI MIZO TRIPURA,1949,20.6,857.3,1914.9,183.5
NAGA MANI MIZO TRIPURA,1950,72.1,374.3,1647.5,329.1
NAGA MANI MIZO TRIPURA,1951,4.1,656.3,1562.7,386.2
NAGA MANI MIZO TRIPURA,1952,16.1,651.2,1742.7,400.9
NAGA MANI MIZO TRIPURA,1953,23.8,641.9,1825.9,169.9
NAGA MANI MIZO TRIPURA,1954,65.2,503.3,2031.2,305.4
NAGA MANI MIZO TRIPURA,1955,11.9,655.5,1789,408.7
NAGA MANI MIZO TRIPURA,1956,19.6,691.7,2015.7,295.6
NAGA MANI MIZO TRIPURA,1957,119.7,415.1,1618.3,150.8
NAGA MANI MIZO TRIPURA,1958,93.4,512.6,1119,243.5
NAGA MANI MIZO TRIPURA,1959,117.6,482,1371.2,356.8
NAGA MANI MIZO TRIPURA,1960,6.1,252.8,1323.5,217.5
NAGA MANI MIZO TRIPURA,1961,47,482.4,1250.5,121.3
NAGA MANI MIZO TRIPURA,1962,37.8,301.9,1352.4,130.4
NAGA MANI MIZO TRIPURA,1963,4.6,508.4,2075.9,381.1
NAGA MANI MIZO TRIPURA,1964,41.1,651.7,1297.4,338.4
NAGA MANI MIZO TRIPURA,1965,63.4,264.7,1479.1,223.7
NAGA MANI MIZO TRIPURA,1966,17.7,315.4,1832.6,313
NAGA MANI MIZO TRIPURA,1967,85,573.1,1374.9,196.8
NAGA MANI MIZO TRIPURA,1968,38.1,476.9,1497.4,97.6
NAGA MANI MIZO TRIPURA,1969,22.4,387.9,3050.2,149.5
NAGA MANI MIZO TRIPURA,1970,352.1,579.6,2841.3,543.2
NAGA MANI MIZO TRIPURA,1971,96,572.9,2141.5,270.5
NAGA MANI MIZO TRIPURA,1972,50.7,347,898.7,57.5
NAGA MANI MIZO TRIPURA,1973,62.7,493.5,1183.8,365.8
NAGA MANI MIZO TRIPURA,1974,11.3,478.1,1590.3,249.9
NAGA MANI MIZO TRIPURA,1975,25.7,425.3,1407.1,351.5
NAGA MANI MIZO TRIPURA,1976,54.7,588.6,1909,99.2
NAGA MANI MIZO TRIPURA,1977,49.1,715.1,1389.9,204.4
NAGA MANI MIZO TRIPURA,1978,4.7,648.6,1405.5,92
NAGA MANI MIZO TRIPURA,1979,9.6,287.1,1314.4,138.1
NAGA MANI MIZO TRIPURA,1980,49.6,708.8,1377.3,169.3
NAGA MANI MIZO TRIPURA,1981,53,750.9,1214.2,54.2
NAGA MANI MIZO TRIPURA,1982,54.9,401.7,1496.3,74.5
NAGA MANI MIZO TRIPURA,1983,68.4,951.1,1343,225.4
NAGA MANI MIZO TRIPURA,1984,19.2,869.2,1407.3,158.3
NAGA MANI MIZO TRIPURA,1985,42.6,627.5,1364.2,70.9
NAGA MANI MIZO TRIPURA,1986,16.1,434.1,1422.8,469.3
NAGA MANI MIZO TRIPURA,1987,20.8,408.8,1679.4,252.3
NAGA MANI MIZO TRIPURA,1988,34,695.6,1712.4,378.2
NAGA MANI MIZO TRIPURA,1989,27.8,363.2,1607.6,360.4
NAGA MANI MIZO TRIPURA,1990,32.7,787.2,1452,310.4
NAGA MANI MIZO TRIPURA,1991,69.4,937,1467.2,378.3
NAGA MANI MIZO TRIPURA,1992,71.5,369.2,1503.6,277.1
NAGA MANI MIZO TRIPURA,1993,150.4,747.7,1802.3,181.4
NAGA MANI MIZO TRIPURA,1994,39.6,484.7,1059.2,129
NAGA MANI MIZO TRIPURA,1995,41.9,375.2,1637.9,285.3
NAGA MANI MIZO TRIPURA,1996,38.1,535.3,1413.9,207.2
NAGA MANI MIZO TRIPURA,1997,35.1,501.4,1567.9,107.7
NAGA MANI MIZO TRIPURA,1998,59.7,653.2,1367.9,144.7
NAGA MANI MIZO TRIPURA,1999,2.2,457.3,1510.9,262.6
NAGA MANI MIZO TRIPURA,2000,48.6,746.9,1357.9,210.4
NAGA MANI MIZO TRIPURA,2001,48.4,436.1,1332.6,332
NAGA MANI MIZO TRIPURA,2002,22.5,645.1,1397.8,176.9
